words,frequency,relative_frequency,type
depend,173,0.0344484269215452,others
chunk,172,0.03424930306650737,others
rosemary,171,0.034050179211469536,others
fryer,170,0.0338510553564317,others
shelf,170,0.0338510553564317,others
halfway,170,0.0338510553564317,others
stalk,169,0.03365193150139387,others
turkey,169,0.03365193150139387,others
x,169,0.03365193150139387,others
star,168,0.03345280764635603,others
refrigerate,168,0.03345280764635603,techniques
chive,167,0.0332536837913182,ingredients
pancetta,167,0.0332536837913182,ingredients
pass,166,0.03305455993628036,others
pumpkin,165,0.032855436081242535,others
metal,165,0.032855436081242535,others
take,165,0.032855436081242535,others
diameter,165,0.032855436081242535,others
pizza,165,0.032855436081242535,others
mascarpone,164,0.0326563122262047,others
roasted,164,0.0326563122262047,others
point,163,0.032457188371166866,others
increase,163,0.032457188371166866,others
puff,163,0.032457188371166866,ingredients
tart,163,0.032457188371166866,others
careful,161,0.0320589406610912,others
glaze,161,0.0320589406610912,others
bicarbonate,160,0.03185981680605336,others
blitz,159,0.031660692951015534,others
pink,158,0.0314615690959777,others
sponge,157,0.031262445240939865,others
dumpling,157,0.031262445240939865,others
lined,156,0.03106332138590203,others
avocado,156,0.03106332138590203,ingredients
loose,156,0.03106332138590203,others
thickness,155,0.030864197530864196,others
thigh,155,0.030864197530864196,ingredients
runny,155,0.030864197530864196,others
mozzarella,154,0.030665073675826365,ingredients
palette,153,0.03046594982078853,others
space,153,0.03046594982078853,others
care,152,0.030266825965750695,others
fennel,151,0.030067702110712864,others
dark,151,0.030067702110712864,ingredients
corner,150,0.02986857825567503,others
grate,150,0.02986857825567503,others
slide,150,0.02986857825567503,others
barbecue,149,0.029669454400637195,others
evaporate,149,0.029669454400637195,others
toffee,148,0.029470330545599364,others
final,148,0.029470330545599364,others
burn,147,0.02927120669056153,others
flip,147,0.02927120669056153,others
clear,146,0.029072082835523694,others
platter,146,0.029072082835523694,others
liking,145,0.028872958980485863,others
pile,145,0.028872958980485863,others
follow,145,0.028872958980485863,others
cardamom,144,0.02867383512544803,others
release,144,0.02867383512544803,others
tofu,142,0.028275587415372363,others
peanut,142,0.028275587415372363,ingredients
poach,142,0.028275587415372363,techniques
mould,141,0.028076463560334528,others
saut,141,0.028076463560334528,others
baste,140,0.027877339705296694,others
pod,140,0.027877339705296694,others
approximately,140,0.027877339705296694,others
masala,140,0.027877339705296694,others
glossy,140,0.027877339705296694,others
test,139,0.027678215850258862,others
addition,139,0.027678215850258862,others
ring,139,0.027678215850258862,others
preheated,139,0.027678215850258862,others
lump,139,0.027678215850258862,others
browned,139,0.027678215850258862,others
